userName,score,content,sentiment
Pengguna Google,4,"semenjak update hasil kamera depan WhatsApp saya banyak bercak hitam, jadi tidak bisa digunakan untuk foto, kirain kamera hp saya yang rusak, ternyata pas di coba di apk lain hasilnya bagus² saja. Semoga bisa cepat balik seperti semula, karena kamera depan WhatsApp sangat jernih dibanding yg lain",positif
Pengguna Google,1,"Di Fitur Daftar Baru, kontak yang ditambahkan hanya ditampilkan 2 nama saja di Daftar. namun saat edit Daftar semua kontak terlihat ditampilkan semua, Selalu muncul tulisan saat mencubit gambar di dalam Status. SANGAT MENGGANGGU!!!! Dan Penelpon tidak ada Status Online/ Offline saat penerima telpon tidak terhubung internet.",negatif
Pengguna Google,1,"Halo tim WhatsApp tolong munculkan fitur Musik dan filter di aplikasi saya. Karena Sudah beberapa kli di update aplikasi WhatsApp tetap tidak muncul fitur musik dan filternya. Mohon min, tingktkan performanya lgi. Tolong juga perbaiki kualitas gambar atau video agar tidak ngeblur.",negatif
Pengguna Google,5,"untuk keseluruhan whatsapp udah canggih bngt sih, kaya telegram. cuma minusnya ini privasinya kurang, kaya dibagian saluran kalau bisa adain fitur privasi saluran biar bisa jadi saluran pribadi, terus kita bisa kick orang asing yg masuk ke saluran kita, untuk kualitas juga tingkatin lagi, udah ada hd sih tapi ga terlalu membantu. tingkatkan lagi yaaa",positif
Pengguna Google,3,"overall semua fitur nya bagus, hanya saja saat ingin membuat story/status pada teks seringkali terjadi typo spasi huruf, kayak kita nggak mencet spasi tetapi tiba² huruf² kalimat kita menjadi terpisah² berantakan. tolong diperbaiki kembali agar kami bisa mengetik dengan lebih nyaman:)",positif
Pengguna Google,5,"fitur barunya jadi bisa putar musik di story, itu bagus bgt sih, jadi klo mau post foto, ga perlu di edit lagi klo mau make musik, tinggal di tambahin aja dari fitur musik skrng, trus 1 lagi, kalo bisa tambahin fitur yg kalau up status itu bisa di publik, wlaupun kita gatau no siapa, tp dia bisa ngeliat status kita, udh itu aja sih, semoga kedepannya wa semakin banyak fitur"" baru yg berguna dan memuaskan, intinya perbanyak fitur"" aja deh, wkwk. udh itu aj makasih🤩🙏 *ditunggu update selanjutny",positif
Pengguna Google,3,"Whatsapp perlahan-lahan mulai bagus, tpi tolong lah pas masukin video di sw jadi ngeblur... Trus katanya ada fitur baru ya? Fitur bisa pasang lagu di sw kayak di instagram,,, tapi di aku blum ada tuh fitur nya, tolong di perbaiki ya-!!",positif
Pengguna Google,3,"Minta pembaruan terus, tapi gak kelihatan perubahannya... Mulai foto/video yg sudah di edit HD tapi hasilnya sama wae burem, Fitur AI...??? Masih penasaran apa gunanya di WhatsApp, jika ada g**gle sama aja, Fitur komunitas juga sama halnya?? Untuk apa gitu...?? Ada 2 cara buat grup, 1 aja cukup sebenarnya, Fitur Pesan sementara itu tolong kalau bisa dibuat yg bisa disetting 2 arah baik dari pihak A maupun B, jadi ada gunanya gak yg satunya di aktifkan satunya mematikan",positif
Pengguna Google,1,"info untuk para developer wa,saya muak dengan aplikasi ini karena memakan penyimpanan internal hp saya.padahal saya jarang mengirimkan pesan berupa file foto dll,tapi setiap hari penggunaan penyimpanan wa saya bertambah terus.dari segi teknis apk wa kalah jauh dengan aplikasi lain,karena banyak kekurangannya.terlebih tentang penggunaan penyimpanannya. Tolong di perbaiki seperti aplikasi lain!!!!!!!!!!!!!!!!!!!!!!!!!!!",negatif
Pengguna Google,5,"aplikasi ini bagus, nyaman di pakai,enak buat komunikasi juga, beberapa fitur nya bagus juga,tapi sayang sekali ada sedikit masalah dalam fitur mengirim sw nya, history gitu, kenapa ya udah hd pun ttp burik,ga semua si tapi terkadang suka begitu pas mau history video suka burik kualitas gambar dari vidio nya,pdhl aslinya vidio itu bagus gambar nya,tetapi pas di wa di sw in agk burik gitu, tolong perbaiki fitur itu saja, selebihnya yang lain bagus ☝️👌",positif
Pengguna Google,5,"Fitur bagus lengkap dan menarik, hanya saja fitur musik bisa di kasih tambah durasi nya dan lagu²nya belum 100% lengkap karena musik dari TAYLOR SWIFT dan AVRIL LAVIGNE sama sekali ga ada. dan next mungkin fitur foto profil bisa ditambahkan ""SEMUA ORANG, KECUALI.."" jadi semua orang bisa melihat foto kita (diluar kontak kita) dan bisa juga beberapa yg di kecualikan, seperti fitur di telegram",positif
Pengguna Google,3,"baguss, pengguna setia, tpii kenapa kalau ada update an baru pasti lamaa, beberapa bulan baru muncul, walaupun udah di update di app store/play store ttp aja ga bisa, kita ketinggalan Mulu, apaa hp nya yg ga support? org2 sudah update TPI kita yg ketinggalan, kalau kita ketinggalan dan teman² kita menggunakan fitur -fitur baru rasa nya kaya kita kudett bnget, tolong di benarkan bug nya, Terimakasih",positif
Pengguna Google,5,"Wahh... Aplikasi ini cocok untuk komunikasi kepada orng², tetapi ada yang kurang menurut saya... Mengapa ketika saya membuka saluran WhatsApp dan melihat video saluran tersebut, mengapa video atau file tersebut tidak bisa diputar atau berjalan.. Dan saya mohon buat devloper agar diperbaiki.. Itu aja pesan dari ku, terimakasih Thank you(:",positif
Pengguna Google,3,"Aku mau kritik soal fitur musiknya di status Whatsapp, sebenarnya fiturnya udah bagus! Tapi... aku sangat kecewa karena fitur itu, lagunya belum lengkap, terus janganlha mentang-mentang aku orang Indonesia, Whatsapp ngasih lagu ""populer di Indonesia"" HEH! GASEMUA ORANG INDONESIA SELERA MUSIKNYA SAMAA! GASEMUA ORANG INDONESIA ITU SUKA SAMA LAGU DJ ATAUPUN LAGU YANG SERING DIDENGERIN EMAK-EMAK SAMA BAPAK-BAPAK! Contohnya aku! aku ga terlalu suka lagu yang begitu, aku lebih suka sama lagu K-Pop!",positif
Pengguna Google,3,"Aplikasi ini udah keren, sekarang gak sembarangan orang bisa ss profil orang lain, bahkan dulu foto / video sekali lihat yang bisa di ss sekarang udah gak bisa lagi. Fitur privasi dan keamanannya dah makin ketat. Kekurangannya: Untuk format tulisannya gak terlalu lengkap, kayak underline, text link (text nya ditimpa link), sama spoiler belum ada. Kalau bisa tambahkan juga fitur anti scam, biar orang gak bisa ngebajak lagi dari whatsapp. Tolong dikembangkan lagi.",positif
Pengguna Google,2,"setelah update versi, Meta Ai tidak bisa membuat gambar secara akurat atau kadang sudah tidak bisa, dan ketika mencoba di fitur Ai Studio jawabannya selalu sama padahal sedang bertanya bukan membuat gambar 😭, balikkan versi sebelumnya!! lebih berguna versi sebelumnya (untuk saya pribadi)",negatif
